Place name,Place type,Rating,Reviews,Price,Delivery option,Dine in option,Takeout option
Lviv Coffee Manufacture,Coffee shop,4.7,17937,$$,True,True,True
Svit Kavy,Coffee shop,4.6,2931,$$,,True,True
Na bambetli,Coffee shop,4.7,2089,$$,False,True,True
Golden Ducat,Coffee shop,4.4,813,$$,False,True,True
Lviv coffee manufacture (Valova),Coffee shop,4.6,1517,$$,False,True,True
SDV Coffee,Coffee shop,4.8,858,$$,,True,True
Fixage,Coffee shop,4.6,702,$$,False,True,True
Svit Kavy,Coffee shop,4.3,102,,,True,True
Lviv Coffee Manufacture,Coffee shop,4.5,778,$$,False,True,True
Lʹvivsʹka Manufaktura Kavy,Coffee shop,4.6,1009,$$,False,True,True
Вірменка,Coffee shop,4.8,2873,$$,False,True,True
Saturdays Coffee Цирк,Coffee shop,5,24,,True,True,True
coffee House,Coffee shop,4.7,363,$$,False,True,True
Chekhovych,Coffee roasters,4.6,1199,,False,True,True
Svit Kavy (Rynok Sq.),Coffee shop,4.6,1284,$$,False,True,True
Cafe 1,Cafe,4.6,1570,$$,True,True,True
Liberty,Cafe,5,10,,,,True
Lviv Croissants,Cafe,4.5,2236,$$,False,True,True
Rondo Cafe,Cafe,4.9,157,$$,False,True,True
Karmel Coffee Shop,Coffee shop,4.9,321,$$,False,True,True
